Order Date,Region,Product Category,Product Name,Units Sold,Unit Price
2024-01-26T00:00:00.000000000,NE,Home Goods,T-Shirt,15,555
2024-02-12T00:00:00.000000000,WEST,Electronics,Vacuum,8,960
2024-09-07T00:00:00.000000000,NE,Home Goods,Jeans,6,
2024-07-08T00:00:00.000000000,West,Clothing,Laptop,7,N/A
2024-07-14T00:00:00.000000000,West,Home Goods,Laptop,17,960
2024-10-06T00:00:00.000000000,WEST,electronics,T-Shirt,8,1195
2024-05-29T00:00:00.000000000,South,Home Goods,Phone,2,1063
2024-05-03T00:00:00.000000000,NE,electronics,Lamp,18,N/A
2024-04-29T00:00:00.000000000,Midwest,Home Goods,Tablet,13,
2024-11-19T00:00:00.000000000,NE,homegoods,Jeans,16,847
2024-09-07T00:00:00.000000000,NE,Home Goods,Lamp,4,
2024-06-15T00:00:00.000000000,Northeast,,Jeans,18,
2024-06-18T00:00:00.000000000,Northeast,Clothing,Laptop,3,N/A
2024-04-16T00:00:00.000000000,NE,homegoods,Phone,11,
,NE,homegoods,Phone,16,
2024-09-17T00:00:00.000000000,Midwest,homegoods,Phone,2,
2024-11-08T00:00:00.000000000,Midwest,electronics,Jeans,,
2024-08-18T00:00:00.000000000,Midwest,Home Goods,Tablet,17,
2024-08-03T00:00:00.000000000,west ,,Laptop,15,
2024-10-17T00:00:00.000000000,West,Clothing,Phone,12,N/A
2024-06-02T00:00:00.000000000,west ,electronics,Lamp,19,
2024-01-28T00:00:00.000000000,South,Electronics,Phone,,N/A
2024-10-25T00:00:00.000000000,South,electronics,Laptop,,1024
,west ,Electronics,Tablet,12,937
2024-12-28T00:00:00.000000000,West,Electronics,Jeans,12,
2024-08-11T00:00:00.000000000,South,Clothing,Tablet,16,
2024-03-18T00:00:00.000000000,West,Home Goods,Phone,2,351
2024-05-05T00:00:00.000000000,Midwest,electronics,Lamp,13,447
2024-05-02T00:00:00.000000000,WEST,Electronics,Jeans,9,N/A
2024-02-04T00:00:00.000000000,South,homegoods,Jeans,12,N/A
2024-05-01T00:00:00.000000000,NE,Clothing,Lamp,6,N/A
2024-08-26T00:00:00.000000000,NE,,Tablet,17,514
2024-04-03T00:00:00.000000000,west ,homegoods,Vacuum,3,N/A
2024-09-22T00:00:00.000000000,Midwest,homegoods,Laptop,7,916
2024-11-18T00:00:00.000000000,Midwest,Home Goods,Jeans,12,
2024-05-06T00:00:00.000000000,Midwest,,Tablet,18,796
,WEST,Home Goods,T-Shirt,8,
2024-06-26T00:00:00.000000000,WEST,Home Goods,Jeans,18,
2024-12-13T00:00:00.000000000,Midwest,Home Goods,Tablet,16,N/A
2024-11-09T00:00:00.000000000,West,Clothing,Laptop,14,N/A
2024-01-29T00:00:00.000000000,Northeast,homegoods,Lamp,10,1085
2024-12-20T00:00:00.000000000,South,,T-Shirt,6,N/A
2024-05-27T00:00:00.000000000,WEST,homegoods,Lamp,6,
,WEST,Clothing,Jeans,9,N/A
2024-09-15T00:00:00.000000000,West,Clothing,Laptop,,645
2024-02-01T00:00:00.000000000,West,electronics,Laptop,19,182
2024-01-01T00:00:00.000000000,West,Clothing,T-Shirt,10,N/A
2024-08-02T00:00:00.000000000,South,Home Goods,T-Shirt,5,
2024-11-06T00:00:00.000000000,WEST,Clothing,Laptop,18,N/A
2024-09-17T00:00:00.000000000,NE,Home Goods,Laptop,13,312
2024-07-06T00:00:00.000000000,West,homegoods,T-Shirt,13,621
2024-01-22T00:00:00.000000000,NE,Home Goods,Laptop,5,N/A
2024-08-14T00:00:00.000000000,WEST,,T-Shirt,8,644
2024-01-01T00:00:00.000000000,WEST,electronics,Vacuum,15,342
2024-06-18T00:00:00.000000000,WEST,Clothing,Jeans,16,885
2024-04-13T00:00:00.000000000,WEST,homegoods,Tablet,12,917
2024-06-23T00:00:00.000000000,Midwest,,T-Shirt,15,N/A
2024-12-09T00:00:00.000000000,NE,electronics,Laptop,3,N/A
2024-01-18T00:00:00.000000000,South,electronics,Jeans,12,N/A
2024-01-04T00:00:00.000000000,NE,,Lamp,,1106
,West,homegoods,Lamp,14,N/A
2024-11-27T00:00:00.000000000,Midwest,electronics,Laptop,17,N/A
2024-08-07T00:00:00.000000000,West,Clothing,Vacuum,3,256
2024-12-19T00:00:00.000000000,Northeast,homegoods,Phone,18,
2024-03-18T00:00:00.000000000,NE,,Vacuum,19,
2024-06-29T00:00:00.000000000,Midwest,homegoods,Lamp,1,
2024-12-08T00:00:00.000000000,Northeast,Home Goods,Jeans,12,315
2024-04-25T00:00:00.000000000,West,Electronics,Vacuum,17,N/A
2024-01-30T00:00:00.000000000,Northeast,,Laptop,4,N/A
2024-05-12T00:00:00.000000000,Northeast,Home Goods,Jeans,1,
2024-01-06T00:00:00.000000000,West,,Phone,8,N/A
2024-10-07T00:00:00.000000000,WEST,homegoods,Lamp,19,765
2024-06-18T00:00:00.000000000,South,Clothing,T-Shirt,4,611
2024-01-09T00:00:00.000000000,west ,homegoods,Tablet,14,
2024-01-11T00:00:00.000000000,west ,Electronics,Phone,12,1075
2024-08-09T00:00:00.000000000,NE,Clothing,Phone,,
2024-03-22T00:00:00.000000000,Northeast,Home Goods,Vacuum,15,
2024-09-18T00:00:00.000000000,west ,homegoods,Jeans,,42
2024-12-25T00:00:00.000000000,Midwest,Electronics,Laptop,11,
2024-04-25T00:00:00.000000000,Midwest,Clothing,T-Shirt,19,
2024-10-04T00:00:00.000000000,West,Home Goods,Jeans,11,
2024-03-30T00:00:00.000000000,West,Electronics,Laptop,15,N/A
2024-08-29T00:00:00.000000000,West,Clothing,Vacuum,2,N/A
,NE,electronics,Laptop,13,N/A
2024-06-29T00:00:00.000000000,Northeast,electronics,Tablet,,
2024-03-29T00:00:00.000000000,WEST,homegoods,Laptop,19,
2024-07-21T00:00:00.000000000,West,Electronics,Tablet,18,
2024-03-25T00:00:00.000000000,NE,Electronics,Phone,11,N/A
2024-06-26T00:00:00.000000000,NE,Electronics,Laptop,4,270
2024-11-11T00:00:00.000000000,West,Clothing,Vacuum,18,
2024-07-09T00:00:00.000000000,South,electronics,Vacuum,15,
2024-02-05T00:00:00.000000000,West,Electronics,Lamp,10,
2024-05-17T00:00:00.000000000,west ,homegoods,Laptop,11,N/A
2024-11-29T00:00:00.000000000,WEST,Electronics,Laptop,12,851
2024-02-13T00:00:00.000000000,west ,Clothing,T-Shirt,18,N/A
2024-04-27T00:00:00.000000000,NE,,Vacuum,13,732
2024-02-01T00:00:00.000000000,west ,Clothing,Laptop,4,N/A
2024-05-07T00:00:00.000000000,WEST,Electronics,T-Shirt,9,1023
,South,homegoods,Vacuum,11,1024
2024-03-02T00:00:00.000000000,west ,homegoods,Lamp,6,100
2024-09-30T00:00:00.000000000,Midwest,Electronics,Lamp,2,N/A
2024-05-14T00:00:00.000000000,NE,,Vacuum,14,N/A
2024-07-27T00:00:00.000000000,South,Home Goods,T-Shirt,3,464
2024-06-02T00:00:00.000000000,South,Clothing,Phone,10,411
2024-03-15T00:00:00.000000000,WEST,electronics,Vacuum,5,568
2024-09-15T00:00:00.000000000,Northeast,,Jeans,14,69
2024-11-30T00:00:00.000000000,WEST,Electronics,Vacuum,14,N/A
2024-06-05T00:00:00.000000000,WEST,Electronics,Jeans,,1147
2024-07-30T00:00:00.000000000,Midwest,homegoods,Laptop,11,N/A
2024-03-10T00:00:00.000000000,NE,Electronics,Laptop,8,
